fish_id,year,station,length,sex,gut_length,SP1,SP2,PS,plates,grn,grg,grl2,grl3
BK100038,2010,41,57,f,35,3.367,3.253,5.17,4,12,0.3043333,1.038,1.022667
BK100039,2010,41,44,f,29,3.371,3.455,5.427,5,13,0.175,0.9486667,0.8366667
BK100066,2010,128,45,m,22,2.851,3.042,3.461,4,13,0.1723333,0.8466667,0.8396667
BK100068,2010,128,45,m,27,3.463,3.833,4.834,6,14,0.2103333,1.034333,0.9466667
BK100074,2010,128,50,f,24,2.896,2.955,3.889,5,13,0.208,0.9036667,0.8866667
BK100082,2010,128,54,m,27,3.423,3.07,5.548,5,NA,NA,NA,NA
BK100087,2010,128,72,f,41,4.072,4.483,6.068,4,14,0.313,1.497333,1.485667
BK100089,2010,128,59,f,33,3.597,3.886,5.606,5,13,0.2176667,1.221333,1.180333
BK100098,2010,128,62,m,29,2.874,3.397,4.864,6,15,0.229,1.253333,1.218
BK100099,2010,128,66,f,44,4.248,4.591,6.889,6,13,0.3623333,1.107,1.102667
BK100120,2010,128,39,f,19,2.519,2.793,4.102,6,14,0.212,0.905,0.8533333
BK100134,2010,128,49,f,27,3.119,3.291,4.428,6,14,0.2223333,1.09,1.102
BK100135,2010,128,50,f,26,3.601,4.135,4.393,7,15,0.238,0.7966667,0.8356667
BK100156,2010,128,51,f,29,3.248,3.507,2.935,6,13,0.1873333,1.085333,1.248
BK100158,2010,128,52,f,24,3.192,3.182,5.267,6,13,0.245,1.109333,0.9966667
BK100158,2010,128,52,f,28,3.192,3.182,5.267,6,13,0.245,1.109333,0.9966667
BK100158,2010,128,52,f,28,3.192,3.182,5.267,6,13,0.245,1.109333,0.9966667
BK100158,2010,128,52,f,24,3.192,3.182,5.267,6,13,0.245,1.109333,0.9966667
BK100163,2010,128,63,m,31,3.733,4.161,5.856,5,13,0.2076667,1.299333,1.415333
BK100165,2010,128,59,f,33,3.052,3.75,6.084,6,14,0.231,1.201,1.368
BK100170,2010,128,36,f,17,2.367,2.58,3.24,4,NA,NA,NA,NA
BK100175,2010,128,36,f,17,1.853,2.112,3.047,4,NA,NA,NA,NA
BK100209,2010,124,59,f,44,3.422,4.168,6.086,6,NA,NA,NA,NA
BK100222,2010,124,50,f,29,3.404,3.669,4.693,6,14,0.1816667,0.965,1.098333
BK100246,2010,124,37,f,21,2.649,3.036,3.313,5,15,0.1353333,0.76,0.9263333
BK100260,2010,124,36,m,12,2.401,2.518,4.266,4,NA,NA,NA,NA
BK100267,2010,124,35,m,20,2.635,2.796,4.827,4,15,0.143,0.6963333,0.7066667
BK100268,2010,124,39,f,20,2.539,2.851,3.843,6,NA,NA,NA,NA
