fish_id,labID,Year,Station
BK100089,KS558,2010,128
BK100076,KS559,2010,128
BK100078,KS560,2010,128
BK100156,KS561,2010,128
BK100074,KS563,2010,128
BK100197,KS592,2010,135
BK100830,KS593,2010,135
BK100831,KS594,2010,135
BK100832,KS595,2010,135
BK100833,KS596,2010,135
BK100835,KS597,2010,135
BK100840,KS598,2010,135
BK100846,KS599,2010,135
BK101179,KS600,2010,135
BK101194,KS601,2010,135
BK101025,KS603,2010,DN
BK101027,KS604,2010,DN
BK101030,KS605,2010,DN
BK101046,KS606,2010,DN
BK101050,KS607,2010,DN
BK101075,KS608,2010,DN
BK101081,KS609,2010,GS
BK100762,KS610,2010,GS
BK100763,KS611,2010,GS
BK100764,KS612,2010,GS
BK100765,KS613,2010,GS
BK100769,KS614,2010,GS
BK100770,KS615,2010,GS
BK100772,KS616,2010,GS
BK100780,KS617,2010,GS
BK100783,KS618,2010,GS
BK120761,KS194,2012,124
BK120739,KS105,2012,124
BK120730,KS193,2012,124
BK120803,KS104,2012,124
BK120680,KS181,2012,124
BK120740,KS18,2012,124
BK120789,KS185,2012,124
BK120758,KS51,2012,124
BK120735,KS25,2012,124
BK120770,KS131,2012,124
BK120713,KS26,2012,124
BK120808,KS184,2012,124
BK120747,KS182,2012,124
BK120766,KS46,2012,124
BK120743,KS197,2012,124
BK120745,KS91,2012,124
BK120753,KS140,2012,124
BK120773,KS90,2012,124
BK120715,KS191,2012,124
BK120776,KS149,2012,124
BK120760,KS189,2012,124
BK120736,KS186,2012,124
BK120790,KS196,2012,124
BK120812,KS60,2012,124
BK120741,KS7,2012,124
BK120793,KS37,2012,124
BK120723,KS32,2012,124
BK120746,KS53,2012,124
BK120771,KS6,2012,124
BK120767,KS50,2012,124
BK120762,KS9,2012,124
BK120755,KS133,2012,124
BK120751,KS59,2012,124
BK120744,KS35,2012,124
BK120718,KS86,2012,124
BK120711,KS106,2012,124
BK120788,KS16,2012,124
BK120882,KS100,2012,128
BK120902,KS146,2012,128
BK120867,KS126,2012,128
BK120891,KS10,2012,128
BK120401,KS40,2012,128
BK120404,KS143,2012,128
BK120868,KS198,2012,128
BK120859,KS192,2012,128
BK120865,KS188,2012,128
BK120920,KS115,2012,128
BK120887,KS170,2012,128
BK120393,KS162,2012,128
BK120852,KS19,2012,128
BK120911,KS152,2012,128
BK120834,KS114,2012,128
BK120846,KS172,2012,128
BK120871,KS163,2012,128
BK120386,KS174,2012,128
BK120825,KS120,2012,128
BK120881,KS187,2012,128
BK120419,KS148,2012,135
BK120418,KS12,2012,135
BK120422,KS157,2012,135
BK120423,KS130,2012,135
BK120413,KS154,2012,135
BK120411,KS142,2012,135
BK120420,KS139,2012,135
BK120412,KS132,2012,135
BK120006,KS64,2012,23
BK120010,KS158,2012,23
BK120005,KS56,2012,23
BK120004,KS169,2012,23
BK120114,KS141,2012,23
BK120124,KS129,2012,23
BK120003,KS119,2012,23
BK120112,KS171,2012,23
BK120119,KS144,2012,23
BK120001,KS54,2012,23
BK120017,KS122,2012,23
BK120122,KS20,2012,23
BK120113,KS166,2012,23
BK120110,KS102,2012,27
BK120035,KS160,2012,27
BK120038,KS118,2012,27
BK120042,KS151,2012,27
BK120037,KS55,2012,27
BK120028,KS177,2012,27
BK120029,KS125,2012,27
BK120036,KS137,2012,27
BK120091,KS176,2012,27
BK120128,KS38,2012,41
BK120283,KS168,2012,44
BK120275,KS127,2012,44
BK120282,KS167,2012,44
BK120219,KS135,2012,44
BK120235,KS153,2012,44
BK120285,KS155,2012,44
BK120277,KS52,2012,44
BK120274,KS134,2012,44
BK120278,KS92,2012,44
BK120251,KS145,2012,44
BK120255,KS159,2012,44
BK120250,KS164,2012,44
BK120252,KS121,2012,44
BK120260,KS136,2012,44
BK120269,KS178,2012,44
BK120504,KS117,2012,DN
BK120500,KS124,2012,DN
BK120470,KS116,2012,DN
BK120484,KS103,2012,DN
BK120488,KS199,2012,DN
BK120486,KS147,2012,DN
BK120469,KS22,2012,DN
BK120477,KS49,2012,DN
BK120460,KS156,2012,DN
BK120485,KS123,2012,DN
BK121484,KS94,2012,HS2
BK121494,KS62,2012,HS2
BK121477,KS27,2012,HS2
BK121455,KS3,2012,HS2
BK121511,KS93,2012,HS2
BK121490,KS81,2012,HS2
BK121505,KS76,2012,HS2
BK121453,KS77,2012,HS2
BK121485,KS74,2012,HS2
BK121442,KS88,2012,HS2
BK121478,KS108,2012,HS2
BK121476,KS44,2012,HS2
BK121510,KS183,2012,HS2
BK121408,KS67,2012,HS2
BK121439,KS78,2012,HS2
BK121483,KS179,2012,HS2
BK121480,KS61,2012,HS2
BK121499,KS110,2012,HS2
BK121438,KS84,2012,HS2
BK121487,KS75,2012,HS2
BK121493,KS72,2012,HS2
BK121443,KS65,2012,HS2
BK121513,KS87,2012,HS2
BK121503,KS195,2012,HS2
BK121454,KS83,2012,HS2
BK121444,KS107,2012,HS2
BK121489,KS173,2012,HS2
BK121515,KS58,2012,HS2
BK121492,KS73,2012,HS2
BK121482,KS190,2012,HS2
BK121502,KS82,2012,HS2
BK121507,KS85,2012,HS2
BK121495,KS109,2012,HS2
